lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,sigma.1,sigma.2,sigma.3
-278248.7234612825,0.927092833364019,0.16125888615851863,4.0,31.0,0.0,278251.58012179745,4.726887045111138,1.8474548691733423,-0.8986208133136344,0.22493881629341397,0.5353572905917411,0.4044258316793925,-0.24110963048370482
-278249.6636268676,0.9447587882764864,0.16125888615851863,3.0,15.0,0.0,278252.82403052965,4.735892647781315,1.855048204758969,-0.9033266739161782,0.22673596252299452,0.5345183635580474,0.4096864555014575,-0.24588406253502956
-278249.06718681805,0.969838388312019,0.16125888615851863,3.0,15.0,0.0,278251.99678201217,4.732830803615736,1.84949147566616,-0.9003574335746142,0.22959564425374251,0.5369179720323729,0.40500619362146517,-0.24287756097509053
-278248.38815756596,0.9971884532783145,0.16125888615851863,3.0,15.0,0.0,278251.4244446614,4.727160655418375,1.837474911669514,-0.8849014750163836,0.225062775407804,0.5325772671789675,0.40396823952133987,-0.239874000810068
-278250.19901070907,0.9680437042586428,0.16125888615851863,4.0,15.0,0.0,278251.2414514112,4.731639086562827,1.824945790089901,-0.879346152116415,0.22712946290000244,0.5347853114238512,0.3967564310348927,-0.23543297951440295
-278251.87793530297,0.8756833189936643,0.16125888615851863,4.0,15.0,0.0,278253.8807499379,4.725692993671389,1.8229835423649479,-0.879824111038247,0.23095625247098983,0.5334998763784089,0.4013448842847954,-0.2365859507613735
-278251.7889600262,0.9925978246505868,0.16125888615851863,3.0,7.0,0.0,278255.28166854545,4.725329127974834,1.8278417740873585,-0.8699149025968357,0.23005585907196607,0.53600337766154,0.40032674147522146,-0.23510830509272934
-278250.3700533968,0.9979435827496277,0.16125888615851863,4.0,15.0,0.0,278253.3645424982,4.732237309969823,1.824691506390725,-0.8718110020728449,0.22846133129912155,0.5359594499973318,0.3981827093374609,-0.23506976379114178
-278249.74835722777,0.9434627283387871,0.16125888615851863,4.0,15.0,0.0,278252.6361987193,4.729015141236434,1.84556656402428,-0.8968993412846711,0.23046683568046236,0.5320562983988304,0.405133592561238,-0.24256111350963883
-278250.9735108625,0.8977600854853773,0.16125888615851863,4.0,15.0,0.0,278254.22272989823,4.7373918112352795,1.8326002952951195,-0.8871419436890863,0.22693321995516377,0.5340549253727042,0.3977952747242536,-0.23662971761093643
-278250.4058490083,0.9882953447453808,0.16125888615851863,3.0,7.0,0.0,278253.38411249244,4.739847357000379,1.8370318008244075,-0.8812748308724162,0.22675954275347832,0.5348716747220282,0.3986957671383858,-0.23679565551668502
-278249.5040826059,0.985394346142074,0.16125888615851863,4.0,15.0,0.0,278253.6872673133,4.7299158857902315,1.8479591385296186,-0.903710158550911,0.22356049229916497,0.5337360175891798,0.40491303867986395,-0.24127102435251443
-278248.9689445893,0.9981431768014034,0.16125888615851863,4.0,23.0,0.0,278251.40812103095,4.736355302820674,1.8353678199198087,-0.8807842091376747,0.22737957424430508,0.5355920954069509,0.4007486945494859,-0.2380925296395752
-278250.0518414221,0.9000711492332976,0.16125888615851863,4.0,15.0,0.0,278252.50402950606,4.7212166743235064,1.8370038918454012,-0.8913438309400218,0.22713133158424706,0.532868103888116,0.3998152013039845,-0.23807410888849664
-278251.7912888891,0.98000676592931,0.16125888615851863,4.0,15.0,0.0,278253.63631740434,4.744354771357207,1.8607916142928396,-0.9066862283112869,0.22856685851622713,0.5352636333315749,0.40216417231124313,-0.2405929376962
-278253.4077588408,0.926367949858398,0.16125888615851863,4.0,15.0,0.0,278256.84792546753,4.724527017294798,1.858078906649415,-0.9063737089495616,0.2240550152294927,0.5357575377852387,0.40941319043984586,-0.24587510662448092
-278249.9073179408,0.9913014638778849,0.16125888615851863,3.0,7.0,0.0,278254.7238038249,4.727912447655449,1.8562746003609036,-0.9060555395045546,0.22508751567220567,0.5324724066888611,0.4064992131204342,-0.24261956383362934
-278250.4113548,0.953494085045928,0.16125888615851863,4.0,15.0,0.0,278251.82626508863,4.744030662564413,1.8529646192318956,-0.8985830520863906,0.22556156015194784,0.5383086644644249,0.4027754573920899,-0.24037159508876138
-278248.76064133464,0.9628834045520106,0.16125888615851863,4.0,15.0,0.0,278252.8523465875,4.733260077624125,1.8525292416786419,-0.8989695479749369,0.22403724958012192,0.5344666968608547,0.4078832089649103,-0.24401874167981155
-278251.14718479424,0.7683296094692639,0.16125888615851863,3.0,7.0,0.0,278252.65723697597,4.732707541125478,1.8514241936801386,-0.8975712852405592,0.22409135806297548,0.5354187477746024,0.40774720185128127,-0.24653906555848107
-278253.2598710523,0.6924966653283423,0.16125888615851863,2.0,3.0,0.0,278257.6011099121,4.733479187483789,1.8518911843325558,-0.9058161178412582,0.221322213031503,0.532852160808916,0.4097037907546174,-0.24241918367975837
-278253.6927705069,0.9723207210440197,0.16125888615851863,4.0,15.0,0.0,278257.9020066776,4.739268609058622,1.8368105145041547,-0.8887000819485983,0.2266920195666273,0.5338700425072741,0.4075722824865377,-0.23987274776408343
-278252.1714490468,1.0,0.16125888615851863,4.0,15.0,0.0,278255.142230023,4.740288608409395,1.8402034516624008,-0.8868532549534631,0.22842819336248654,0.5344862446858396,0.405758844435513,-0.24355177739261077
-278253.40228706127,0.6541544138166532,0.16125888615851863,3.0,7.0,0.0,278257.35585953674,4.729408185963988,1.8499812048805897,-0.8966793114545294,0.2240328577995617,0.536257951961051,0.4014209986869406,-0.24367526820631089
-278249.9901539573,0.9947468028031385,0.16125888615851863,2.0,7.0,0.0,278255.1145670573,4.733997436423434,1.8506009498081752,-0.8999544949480744,0.22284363738075982,0.5374193307114076,0.4039784836462874,-0.23895184503948827
-278249.10710533586,0.9616380925764135,0.16125888615851863,3.0,7.0,0.0,278252.13946529187,4.734451446316957,1.8553879115974734,-0.9016975729059208,0.22246751235467951,0.5339498620727435,0.40321665191875483,-0.23896522682058927
-278249.75579974474,0.7538150201849722,0.16125888615851863,4.0,15.0,0.0,278252.953035115,4.733278802539595,1.8441936355892898,-0.8937083547270904,0.22494894536316318,0.5349263182270038,0.4032962450738259,-0.2437686870275061
-278248.19549359416,0.9933757597452542,0.16125888615851863,4.0,15.0,0.0,278251.35032308876,4.738385466276218,1.8450337110798625,-0.8895408436203275,0.22393873521987392,0.5353375827489797,0.4026684928895905,-0.23886908697999862
-278250.04075644835,0.917643298147968,0.16125888615851863,3.0,15.0,0.0,278252.9367982339,4.7382033148647045,1.8495130232723174,-0.8919195102591897,0.22317978262244548,0.5351357177525486,0.4078487295457518,-0.2415953814965592
-278248.0306576906,0.9837557529559786,0.16125888615851863,3.0,7.0,0.0,278251.3167574974,4.730525010953989,1.8470557233973466,-0.8990813045003025,0.22553003877629962,0.5339951709896303,0.40260545779372037,-0.24144441402052566
-278248.361683226,0.9886601158263233,0.16125888615851863,4.0,31.0,0.0,278251.8859049539,4.732821960046081,1.8521766221389715,-0.9025691729633871,0.22799666410778954,0.535477275779289,0.406154803789442,-0.2435257538713734
-278248.8312175758,0.978429635001045,0.16125888615851863,3.0,7.0,0.0,278249.3459326892,4.732614444693346,1.8496334998068078,-0.9019066450569968,0.22930550239318753,0.5356289541686513,0.4055116833087597,-0.24336300595838042
-278247.9810812585,0.9439173976019423,0.16125888615851863,3.0,7.0,0.0,278249.639349086,4.73479312549683,1.852314887572205,-0.8978236433091655,0.22693141367566208,0.5351270856564574,0.4063384206486364,-0.2427995206717065
-278248.1602979356,0.7797068168593223,0.16125888615851863,3.0,7.0,0.0,278250.69300294295,4.7331730336776685,1.8508057475576147,-0.9014960660853367,0.22482964865789248,0.5344768210026207,0.4019030880635867,-0.24005143920119243
-278249.60028774483,0.9520478447599571,0.16125888615851863,3.0,15.0,0.0,278251.64070832677,4.734284838044296,1.8616907713232338,-0.9046732962698301,0.22712756402991482,0.536084598255605,0.4072692860465615,-0.24383948512253523
-278248.9441445012,0.9864640137318846,0.16125888615851863,4.0,23.0,0.0,278251.51752761524,4.730000648402773,1.8376972149043302,-0.8836724096446162,0.2216167176094607,0.5337218968679811,0.4014742698948496,-0.23805922151290512
-278248.34319652733,0.6510168078697781,0.16125888615851863,3.0,15.0,0.0,278254.02012008906,4.73460909117982,1.8416468728695825,-0.8907273045089792,0.22189613410373132,0.5343595072203527,0.4009002720714197,-0.2376893933087355
-278248.6449253964,0.9306836973555582,0.16125888615851863,3.0,15.0,0.0,278252.0247551884,4.7306455910710845,1.8396192009762509,-0.8883570166055399,0.2266278843132535,0.5352722648457112,0.4069379979909121,-0.2424633765465464
-278249.33661548066,0.9256922917776925,0.16125888615851863,4.0,15.0,0.0,278252.3426523891,4.725171869617723,1.8405304928711057,-0.8907109185300909,0.2296905210276351,0.5355716561266436,0.400179834935798,-0.23797215359034862
-278249.57216186257,0.8793530181418494,0.16125888615851863,4.0,15.0,0.0,278252.1654649502,4.7267342231322145,1.843421065062975,-0.8870079041770503,0.2302857301651926,0.5341976985976195,0.4052006853078424,-0.24033329131960302
-278248.1350471854,0.9337030272563137,0.16125888615851863,4.0,15.0,0.0,278251.52535595547,4.725190732660378,1.8360389782232858,-0.8886364827960918,0.22603396134085285,0.5342547462372447,0.40099815881375545,-0.2385018012012189
-278248.98382095224,0.8679260184485781,0.16125888615851863,4.0,15.0,0.0,278250.6534264176,4.73403242420563,1.836163867970975,-0.8893128761524777,0.22308971610493233,0.5331950235193118,0.4011984399454191,-0.2396418461321601
-278252.251062984,0.9093515916689919,0.16125888615851863,3.0,15.0,0.0,278254.0427769102,4.734703340038317,1.8379412797812045,-0.8974103186938224,0.22161051433794846,0.5378436969675595,0.40248859416618943,-0.23981582643559834
-278249.73221568234,0.9904434235567402,0.16125888615851863,2.0,3.0,0.0,278252.7996700972,4.733543461642738,1.8419749261497231,-0.8961364944277083,0.22231870306559115,0.5374222438346264,0.40221676455162036,-0.23954521466990453
-278248.62887642725,0.9994999616334183,0.16125888615851863,4.0,15.0,0.0,278250.8703516162,4.736324181304318,1.846324242638874,-0.8954135954026702,0.22252002607057841,0.5361325357858214,0.40082388982163847,-0.2390379451376972
-278248.36042365705,0.9020347959745085,0.16125888615851863,4.0,15.0,0.0,278251.0911808384,4.734297745764127,1.83741941601012,-0.8853754881639955,0.22342469527596154,0.5335865676248843,0.40019465069587623,-0.23797464770130236
-278249.1967247376,0.9266256414591676,0.16125888615851863,4.0,15.0,0.0,278252.2972666457,4.723914540909597,1.8434008913542403,-0.8953686906619388,0.22511336438788598,0.5328517333230157,0.4015892449781492,-0.23901367504422338
