lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,sigma.1,sigma.2,sigma.3
-278231.52650494763,0.6733967872490861,0.1791090324635773,3.0,7.0,0.0,278236.0325454872,4.726764012095332,1.8337326577246285,-0.8888705243015076,0.22240048482689076,0.5340984411527743,0.39877457854076537,-0.24068734657163507
-278231.01962795,0.9925489158665056,0.1791090324635773,3.0,7.0,0.0,278232.51172823913,4.72781568004131,1.835233471093211,-0.8822834789306099,0.2221101912269233,0.5346079641108873,0.404799998639203,-0.23895844731524765
-278231.4996051892,0.9492129306107617,0.1791090324635773,3.0,7.0,0.0,278233.0192154242,4.718419956668144,1.834479447944795,-0.894310678514548,0.22490437690483236,0.5352723992111348,0.4012844424889497,-0.2382361135299574
-278231.6736993644,0.9488177418837519,0.1791090324635773,3.0,15.0,0.0,278232.89367713325,4.726897213489554,1.838911937994853,-0.8896882064503989,0.2227019477374832,0.5327585180413473,0.4074216121070751,-0.24097594228345956
-278229.90555876796,1.0,0.1791090324635773,3.0,7.0,0.0,278232.1901077585,4.728299872250436,1.8360270064797035,-0.8918812135613606,0.22353557401243956,0.5360288491072864,0.4040747439317955,-0.24166388757510313
-278231.26579945744,0.7417561797278881,0.1791090324635773,3.0,11.0,0.0,278233.9241243209,4.726348676522826,1.8381445254469,-0.8988237559476939,0.22601422224994944,0.5348403205755263,0.4012372092288479,-0.24038494930181567
-278234.3969170144,0.6652415102094542,0.1791090324635773,3.0,7.0,0.0,278237.0324249426,4.7271831679197875,1.8456630585749734,-0.8958262353927064,0.22103490777288717,0.5313623255824473,0.4076299014142528,-0.23972065448151167
-278231.2785911334,0.6621867965260905,0.1791090324635773,3.0,7.0,0.0,278238.7488031184,4.729117192909642,1.8426287305250195,-0.8943107288411879,0.22065247935183244,0.5352799548586056,0.40650301118417503,-0.24079167686512648
-278229.7371913264,0.9773553357272226,0.1791090324635773,4.0,23.0,0.0,278232.8035196056,4.725791910560317,1.83519367543102,-0.8857532438757438,0.22503009635269478,0.5343915041785438,0.398824772566156,-0.23773797988705575
-278232.0769104773,0.7702100282027985,0.1791090324635773,2.0,3.0,0.0,278233.78189757204,4.727045481264995,1.8294268294252496,-0.8871678371670713,0.22240410169119026,0.530755906883274,0.39854273610541613,-0.236293094725454
-278234.9129264242,0.9894657274834099,0.1791090324635773,3.0,7.0,0.0,278235.9147817473,4.7141437315519426,1.8271562857876733,-0.8806838352623989,0.2260495696890603,0.536416215602383,0.40778167606527843,-0.24250297849406616
-278231.0850923184,0.9744224632556877,0.1791090324635773,3.0,7.0,0.0,278238.25222806423,4.716865144408472,1.8239459097763608,-0.8848276427537025,0.224208687920808,0.5345311650702456,0.3976460055669903,-0.23753919848891883
-278231.81753325707,0.9986313929806312,0.1791090324635773,4.0,23.0,0.0,278233.7276653072,4.732539102510882,1.8477567976132396,-0.9035301100942739,0.2244028263535393,0.5358490741417653,0.40188612445418664,-0.24130352059538615
-278232.4521950189,0.8598032976208669,0.1791090324635773,3.0,7.0,0.0,278234.6609320508,4.72875705571297,1.851514749656716,-0.9019229028843538,0.22242302007748363,0.534441571834593,0.4017662714484521,-0.2375052338553974
