lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,sigma.1,sigma.2,sigma.3
-278341.12040203356,0.9847711879999933,0.15719415480168789,3.0,15.0,0.0,278342.3634122091,4.7399663420532345,1.8446727683939648,-0.8932987763004657,0.22696071152323896,0.5370741195689147,0.40304998809001213,-0.23963222561149336
-278343.93510454096,0.8564239710659057,0.15719415480168789,4.0,23.0,0.0,278347.4390900181,4.739886971062203,1.845504729787892,-0.8864660545267148,0.22472029014358882,0.5384695591225314,0.40127663487774656,-0.23526184260351207
-278343.67188282433,0.9852550340726562,0.15719415480168789,3.0,7.0,0.0,278346.33581196325,4.739841709192233,1.8436814622965516,-0.8851982086252644,0.22714984665045143,0.5344387577624335,0.40323371479245845,-0.24081520729919748
-278345.0287242723,0.986494249162537,0.15719415480168789,3.0,7.0,0.0,278346.6498945252,4.739013038829229,1.8459442831117359,-0.8829802628035653,0.22854434589600447,0.5375032614974895,0.4058644147680687,-0.23953541626394642
-278342.89444284525,0.9921981265215462,0.15719415480168789,3.0,7.0,0.0,278347.2100410196,4.739642798650127,1.8451136371299033,-0.8979018868373071,0.2219208579480283,0.5347325550592653,0.4005456693962043,-0.2396600347017986
-278342.7664272453,1.0,0.15719415480168789,4.0,15.0,0.0,278344.39546485496,4.725112012977026,1.8456015331763476,-0.8898239794377443,0.23108556961400004,0.5346330430325212,0.40526566536836867,-0.24076880973069015
-278345.3592751431,0.6539052235410977,0.15719415480168789,2.0,3.0,0.0,278347.1179681991,4.725721206453307,1.847004244057119,-0.8882220280679987,0.23113657809268914,0.5330269713902374,0.404635417995053,-0.24289276418615188
-278342.9333451842,0.8556674403573955,0.15719415480168789,2.0,3.0,0.0,278348.2182936583,4.724843792054219,1.841033341845333,-0.8917876975942949,0.23196204472489593,0.5336796417316682,0.40508847882101484,-0.2397573574719724
-278345.0934438102,0.928541309824667,0.15719415480168789,4.0,15.0,0.0,278349.8257543574,4.741208306015831,1.8659928359798335,-0.9148967938350476,0.2206201757783164,0.5339557533199631,0.40735165716458427,-0.24440196204405448
-278343.24623772537,0.9857035663439532,0.15719415480168789,4.0,31.0,0.0,278348.04589992616,4.730273198794778,1.8383103152837423,-0.8871799876310007,0.23417359510714503,0.5352749613100377,0.40130886353225176,-0.2387358457883859
