lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,sigma.1,sigma.2,sigma.3
-278135.4529395495,0.9878130261297488,0.16806571777471083,4.0,23.0,0.0,278139.98383403575,4.737931664740082,1.8642912948425527,-0.9226893641641286,0.22358901677677737,0.533119696743593,0.40916918582107165,-0.2483357349295764
-278137.0302148225,0.6657219270396129,0.16806571777471083,4.0,23.0,0.0,278142.5300385174,4.735678005269961,1.8516289994830761,-0.9083179629349236,0.22553985732069803,0.5312184153147889,0.4054221585789291,-0.2452881413828975
-278136.7000089685,0.9704812736441756,0.16806571777471083,3.0,15.0,0.0,278141.53671095945,4.738490170266411,1.868472732543096,-0.9195326131255371,0.22379562923000837,0.5373960684982787,0.40835744912314936,-0.24757050985584872
-278140.73611693317,0.6741311898631467,0.16806571777471083,3.0,7.0,0.0,278142.80142868817,4.742355114745277,1.8686079954089936,-0.9140654670675844,0.2227846665467069,0.5297412397225979,0.4079214792103047,-0.24742965767074868
-278136.4096890357,0.9853721026661642,0.16806571777471083,4.0,15.0,0.0,278141.29876139143,4.742898791226732,1.8659988992282925,-0.9161520050138467,0.22297993721863082,0.5329701537676559,0.4078616566829894,-0.24681349080085385
-278136.0541780589,0.9328491024198745,0.16806571777471083,3.0,15.0,0.0,278138.56898985093,4.74221101745878,1.8716962392741692,-0.9195728565073779,0.2249728432614213,0.535652250835387,0.41128614352983534,-0.24758508507362936
-278138.4656880849,0.7770920918265833,0.16806571777471083,3.0,7.0,0.0,278140.4387711291,4.740733370866958,1.8643358294445311,-0.9207274064497799,0.23016087109021233,0.5350527834148262,0.4138433640676914,-0.2490734800631892
-278140.1578693417,0.9749421207632287,0.16806571777471083,3.0,15.0,0.0,278144.16985836707,4.738499053584583,1.8593025395701537,-0.910993597741661,0.2216795510692901,0.5320805987266739,0.41249536061931324,-0.25232729221129924
-278140.1340381032,0.4477355597990505,0.16806571777471083,2.0,3.0,0.0,278152.30341810925,4.735855072862227,1.8623123297439996,-0.9165818744878876,0.2183650664221712,0.5347482920456468,0.41250630710625535,-0.24643960067063717
-278136.3565433293,0.9975251877126298,0.16806571777471083,4.0,15.0,0.0,278143.4043107146,4.734491762329975,1.8563556154477996,-0.9077407893539617,0.2278415709204734,0.5363351564990237,0.4061942283743578,-0.2452852655944283
-278135.98393167515,0.8628535039555886,0.16806571777471083,4.0,31.0,0.0,278140.1573706842,4.738260381618588,1.861836957735978,-0.9171321072697223,0.22406424179881487,0.5320820684968989,0.4104433519058772,-0.24999887111211472
-278136.83462028776,0.9878663964647778,0.16806571777471083,4.0,23.0,0.0,278138.5373803147,4.741169312873989,1.8635541053985356,-0.9229696544043273,0.2217155100456563,0.5346401382185872,0.412522856531037,-0.2497402716650963
-278135.7852217406,0.9986062811378357,0.16806571777471083,3.0,15.0,0.0,278137.9615863927,4.742654437162405,1.8698358190071422,-0.9234268805779448,0.2245159269899933,0.5348076932631957,0.40827333175760633,-0.24865777654549676
-278138.23381172406,0.89794234948578,0.16806571777471083,3.0,7.0,0.0,278139.25528763246,4.743012186005227,1.8705231337247112,-0.928318307277976,0.21930296647017455,0.5352078474761138,0.4104783457093279,-0.24821219138334374
-278137.9114349818,0.8589428130780253,0.16806571777471083,3.0,7.0,0.0,278141.3027506961,4.746906993536713,1.8679897233919476,-0.9248060310158934,0.22341483647298538,0.5332731653511421,0.4107991343357787,-0.25077615141494003
-278137.7814052223,0.9832898863009928,0.16806571777471083,3.0,7.0,0.0,278139.8506988395,4.740266688719801,1.8781814488201973,-0.9230786829399676,0.22825250870123862,0.5368733658533922,0.4123256878904185,-0.2499118718963456
-278137.2478524193,0.9674454101322756,0.16806571777471083,4.0,23.0,0.0,278141.8644457593,4.736811364812071,1.8525878353070235,-0.9158720547487503,0.22278368881501423,0.5330146665450581,0.4071280419235057,-0.24594617751600067
-278140.07679509633,0.8453758660284239,0.16806571777471083,2.0,3.0,0.0,278141.09686139174,4.735268812790773,1.850774439129171,-0.9173746141612983,0.22211013751375838,0.5374458219881803,0.4066630664872038,-0.24661830811216132
-278139.14349666255,0.9647275109816353,0.16806571777471083,3.0,7.0,0.0,278144.5253390572,4.7364241245784084,1.8520498518668123,-0.9162844729612948,0.22046439944157184,0.5349134712492913,0.4120492247316147,-0.2507268732787986
-278136.934882264,0.9746041979943334,0.16806571777471083,3.0,7.0,0.0,278141.77105119254,4.732863813445237,1.8572679756933044,-0.9157568437346266,0.22100710939355042,0.5353016787081061,0.4086627264140366,-0.2473883367331045
-278137.19398985873,1.0,0.16806571777471083,3.0,15.0,0.0,278138.6147481929,4.73054742261475,1.861988758646125,-0.9156334453849218,0.22944832176104552,0.5313476146856352,0.41227365972273267,-0.2505376346355474
-278139.05152901314,0.8756933983708153,0.16806571777471083,3.0,15.0,0.0,278143.0706450468,4.733514501868761,1.8614595590484064,-0.9233906859931692,0.22999579887926114,0.5352910807272949,0.4051229678630214,-0.2458248925335871
-278136.62904507853,0.949303773202365,0.16806571777471083,3.0,7.0,0.0,278142.7497172278,4.739266887469323,1.8666728446752365,-0.9190567932435308,0.2306387434222872,0.5348756903761991,0.4081610602292195,-0.24788700690120768
-278137.37446368963,0.9036172919763333,0.16806571777471083,3.0,7.0,0.0,278138.81176588737,4.739283480584342,1.8655880516699992,-0.9201390537874955,0.2311225467630219,0.5363920020246045,0.40978537528960385,-0.24732935697063346
-278136.8989819659,0.9813438045371485,0.16806571777471083,4.0,23.0,0.0,278140.14402905735,4.730251782369766,1.8492081510787015,-0.9088369235715876,0.23012468749764647,0.5334013785028949,0.4079357400712598,-0.24590825067335903
-278135.85735875275,0.999809843905623,0.16806571777471083,4.0,15.0,0.0,278137.58444381086,4.736132814429489,1.8519148976494593,-0.9060116572910745,0.22436024317722736,0.5329772787153139,0.4077350691415774,-0.246448545702674
-278136.47347853746,0.8952739138709909,0.16806571777471083,4.0,23.0,0.0,278140.1901565824,4.737028515216687,1.8654718629246199,-0.9170103101505487,0.22845908621284589,0.5346095189067738,0.4142063927548097,-0.24970389471998483
-278137.46905058547,0.8321413019806287,0.16806571777471083,3.0,7.0,0.0,278141.57602330414,4.7436240665472456,1.8616046026454716,-0.9222157621068525,0.22397697369208322,0.5333069908209302,0.4107586500415085,-0.25038821465824235
-278136.4571954464,0.9851444142973448,0.16806571777471083,3.0,7.0,0.0,278138.537184658,4.742615166632989,1.8622002302304104,-0.9211775557697295,0.2235605708685192,0.5346859294877073,0.4121771813070569,-0.25015697681474175
-278137.4342068007,0.7767404808689482,0.16806571777471083,4.0,15.0,0.0,278141.10836310283,4.745764774705937,1.8769830421898122,-0.9330931896601566,0.22372983748026934,0.5354038086573317,0.4149660819338976,-0.2526884457405238
-278138.29803061794,0.8758777596703543,0.16806571777471083,4.0,15.0,0.0,278140.14012432675,4.73625769976279,1.8779505896180182,-0.935837175048324,0.2282583951203062,0.5337220729553693,0.41143302123191927,-0.24938834516725725
-278136.3829604427,0.9358006245531125,0.16806571777471083,5.0,31.0,0.0,278142.23811462015,4.740255424695808,1.8650421907286558,-0.9138425585906337,0.2295296875049086,0.5351346816357113,0.41072756113396797,-0.24836776748450204
-278136.15533159446,0.9850421880806907,0.16806571777471083,4.0,15.0,0.0,278137.753832646,4.73842027181125,1.8676800071811237,-0.9254695608672575,0.22257498511502966,0.532930783146702,0.40853251197835905,-0.24772057053534127
-278140.28199155384,0.7551896985826788,0.16806571777471083,3.0,15.0,0.0,278143.1011298079,4.746486484681438,1.8670246205795533,-0.9262309537775968,0.2222656084661461,0.539452770667857,0.4087741000724058,-0.24833142418777474
-278138.8293181236,1.0,0.16806571777471083,3.0,7.0,0.0,278142.1478183186,4.74727412202787,1.8677272294303415,-0.9276900677552806,0.22661602195608344,0.53731684383488,0.4090007060200475,-0.24906978251456907
-278136.1020716804,0.8850003951348366,0.16806571777471083,3.0,7.0,0.0,278140.1917774351,4.745624690896197,1.8723605009074227,-0.9251353548061649,0.2237011661869329,0.5347597996441642,0.4102845822472719,-0.24930968949537696
-278136.0569819803,0.8894843380655124,0.16806571777471083,3.0,15.0,0.0,278140.30507659214,4.737217510817046,1.8615111917525087,-0.9133292945637341,0.22713812605535796,0.5319656604203291,0.40691751813871607,-0.24584182202476593
-278135.4365209085,0.9390950218912787,0.16806571777471083,3.0,15.0,0.0,278137.3328684989,4.733112167480343,1.8601384662072409,-0.9183483209590623,0.2248885895219472,0.5345324754639192,0.41165470086768974,-0.24870853267632892
-278138.3779473794,0.6859951657375803,0.16806571777471083,3.0,11.0,0.0,278139.75703776174,4.7395837542462305,1.8668018362667966,-0.9215101401199969,0.22754372331928677,0.5332586264389887,0.4110355717457548,-0.2454949667150949
-278139.56277740386,0.9766185049145928,0.16806571777471083,3.0,7.0,0.0,278143.1620962708,4.737623190688847,1.864344920925126,-0.917943860279998,0.22164451853566736,0.5363690259675891,0.4094059541227624,-0.2434785139178486
-278141.79987849446,0.9701571219734318,0.16806571777471083,4.0,23.0,0.0,278146.2804860954,4.726545743761048,1.8509413922208486,-0.9158461673043555,0.2285227964331769,0.5314542152096892,0.4076289505834987,-0.25169208987711283
-278138.7850160849,0.9992984623871219,0.16806571777471083,3.0,7.0,0.0,278145.1303910641,4.733916180553153,1.8574209083097535,-0.9109190005532923,0.22895120500238442,0.5335681285330243,0.40929470144923236,-0.2431896870263162
-278136.60835691774,0.9458572470898867,0.16806571777471083,3.0,7.0,0.0,278142.064238412,4.7366058518751055,1.8547878704247085,-0.909217354434093,0.22723918526838244,0.5348602569308403,0.4111737896450467,-0.24611537942604386
-278136.6676327406,0.7874766084011147,0.16806571777471083,4.0,23.0,0.0,278141.070459332,4.739164535069191,1.8628746361946054,-0.9137304797491417,0.2266879537039305,0.5344970532400175,0.4102007360986905,-0.25072138497137897
-278137.16906058585,0.972699082620004,0.16806571777471083,3.0,7.0,0.0,278141.0655143932,4.7299222102441245,1.8685886093142383,-0.9190810771401196,0.2270324268122855,0.5332199254145129,0.40766951102072824,-0.24638211342415942
-278138.013013914,0.9216212879931422,0.16806571777471083,3.0,7.0,0.0,278140.36307994946,4.732968760952041,1.8704646827842442,-0.919039466162203,0.23029629949393007,0.5364658049064452,0.40994309784734684,-0.24772989115364036
-278138.73464738246,0.9397793998652748,0.16806571777471083,3.0,7.0,0.0,278141.1843051137,4.735493459509632,1.8613836853717192,-0.9263474786949808,0.22166121860511478,0.531662625511148,0.4092755729849619,-0.2500976681693378
-278137.2279912956,0.9995372851384914,0.16806571777471083,3.0,15.0,0.0,278140.68508453155,4.735015967856228,1.859118238086481,-0.9053198793402913,0.22832229123700956,0.5351592372514444,0.41014763670706994,-0.2475224778026034
-278136.1613944987,0.9328064001122292,0.16806571777471083,4.0,23.0,0.0,278139.4920277624,4.737665798351916,1.8732780829539826,-0.9267096878387923,0.22193249134073867,0.5340084269137891,0.410317066714089,-0.24841972762666423
-278138.1637514937,0.9006280978251154,0.16806571777471083,3.0,7.0,0.0,278140.9747033684,4.729551479687082,1.8689152273161664,-0.9297974686301214,0.22981339683118945,0.5335450928573274,0.41171722401847516,-0.2509239998543721
-278137.05694161926,0.9069656312567592,0.16806571777471083,4.0,31.0,0.0,278141.45559886354,4.738133412811774,1.8726330412018213,-0.9309957399915479,0.2226291211019622,0.5340035628642859,0.40982572704013176,-0.2479297549055721
-278139.44088310964,0.9050357175240017,0.16806571777471083,4.0,15.0,0.0,278143.25288468774,4.73660674390545,1.8733278155447135,-0.923509600622802,0.2317237117676999,0.5364410174963882,0.41493520200474515,-0.2542146726489007
-278138.1804687483,0.9372541838603349,0.16806571777471083,3.0,7.0,0.0,278142.4062016734,4.736333722243962,1.8755571050655164,-0.933302441270087,0.2232954045355358,0.531482716798304,0.4101949764859281,-0.24838892146745437
-278139.1538303012,0.9584322383983118,0.16806571777471083,4.0,31.0,0.0,278141.55953033234,4.736242570283271,1.8467341620300586,-0.9011555412106126,0.22166121271918038,0.535295393638974,0.40341159937064824,-0.2399923667468267
-278136.15891027614,0.9633738676197178,0.16806571777471083,4.0,31.0,0.0,278142.08790105477,4.7346258739118525,1.8641751607646826,-0.9200716427573485,0.22642254446413376,0.5343817147826714,0.41360549984029266,-0.25291245781364885
-278135.80738220026,0.9446293390203154,0.16806571777471083,3.0,7.0,0.0,278137.0816777872,4.73373604691823,1.8657785161166875,-0.9188906229292206,0.22727971294599297,0.5347578662842787,0.41316408068149135,-0.24926003948608078
-278136.82465755724,0.9666269620400069,0.16806571777471083,3.0,15.0,0.0,278137.96569417854,4.733473271332501,1.8553534240741776,-0.9175786653579908,0.22332088506237074,0.5325927796097512,0.40855497205617447,-0.2460490869430032
-278137.1142752903,0.980872059330125,0.16806571777471083,4.0,23.0,0.0,278138.82249967917,4.737379653870267,1.8677770534560136,-0.915472570755927,0.22840433919201286,0.5356754681337996,0.41126933060639176,-0.24635233222393887
-278138.25727611274,0.9913758186866968,0.16806571777471083,4.0,15.0,0.0,278139.58457155095,4.73207406273183,1.8717140383799227,-0.9201694258194254,0.22917112876902954,0.5315158038753487,0.4091237297217529,-0.24647843535371036
-278140.7447295422,0.9384226784814741,0.16806571777471083,4.0,23.0,0.0,278143.3391261274,4.7421459507471235,1.8494841161518958,-0.9109380764331574,0.2197544016786499,0.5375636004809309,0.4097868150553691,-0.247749157660457
-278141.0613132252,0.9533396046483402,0.16806571777471083,3.0,15.0,0.0,278143.8441785789,4.7448083155248915,1.852945536346488,-0.9134124068359534,0.21946776367507356,0.5372047827223942,0.4101728276060067,-0.24665325818410097
-278139.76479618205,0.9997866963559995,0.16806571777471083,4.0,31.0,0.0,278143.1076937294,4.73403922825484,1.8717924934546633,-0.9366158707817815,0.22596284338030756,0.5316800522072699,0.414744788345836,-0.2527380208561677
-278139.24107873946,0.9311203461275736,0.16806571777471083,4.0,15.0,0.0,278144.3035762188,4.735832643444123,1.869071685893776,-0.9355265312517453,0.22622119693735362,0.533910000617179,0.4128672417199434,-0.25411926854098704
-278138.75589495065,0.9386042565154996,0.16806571777471083,3.0,7.0,0.0,278141.4000096679,4.740683320241141,1.880730671364254,-0.922204733389417,0.22508615622738942,0.5340987659734225,0.41217811693623396,-0.25074879776900644
-278143.9336003503,0.953021002225179,0.16806571777471083,3.0,7.0,0.0,278146.4429097796,4.735178305735518,1.8711548681379964,-0.9384356611801657,0.23263289287619598,0.5355489326530953,0.41675439602058084,-0.25657602265585316
-278137.6355301362,0.9939935076701024,0.16806571777471083,3.0,7.0,0.0,278145.86101033114,4.740590511300997,1.8802924398150849,-0.926862762982361,0.2291161235897115,0.5347353873163705,0.41349360314638384,-0.25229445515999943
-278138.6631208621,0.9784829996759283,0.16806571777471083,4.0,23.0,0.0,278141.85186344077,4.737335195692658,1.8607132662980757,-0.9245195095608192,0.22266438824533435,0.5343126874139332,0.4149385014350344,-0.2538661262332001
-278138.3051301405,0.5311554026652204,0.16806571777471083,4.0,15.0,0.0,278146.58910687396,4.7307895448718575,1.870437884006057,-0.91808677311919,0.23084186741739235,0.5337710218922624,0.41012903992694044,-0.2475028775671295
-278136.8764600699,1.0,0.16806571777471083,3.0,15.0,0.0,278139.0043418902,4.735609217923526,1.8592807534888915,-0.9233646328906584,0.22289630026000573,0.5338390478758013,0.40923174875644414,-0.24865565662747138
-278135.9423233879,0.8934647599432004,0.16806571777471083,3.0,7.0,0.0,278140.69662772643,4.736140798703735,1.8618821579324945,-0.9205307345727975,0.22250146935029885,0.5348249438619018,0.4116318568177486,-0.24870665085461124
-278137.44474220765,0.9131154418504155,0.16806571777471083,4.0,15.0,0.0,278139.9351331272,4.739185657976209,1.8832408801373546,-0.9334796215252728,0.22666745707170757,0.5350416176378996,0.41230905279072666,-0.25265573886018455
-278137.7583726598,0.9759449602155091,0.16806571777471083,3.0,15.0,0.0,278139.7139026351,4.742237453777188,1.874347064099427,-0.9354870077770797,0.2238535604039276,0.5341230950774658,0.41379237390574963,-0.2534922065213538
-278138.0169843569,0.9575494416304656,0.16806571777471083,3.0,15.0,0.0,278142.14414162474,4.742922855519493,1.8777312067246639,-0.938261885496227,0.22478668710870803,0.5348249214286457,0.413542908313534,-0.2520958414696549
-278137.34761849407,0.9113934656504633,0.16806571777471083,4.0,15.0,0.0,278140.07490944944,4.7371215270025,1.8598757299109703,-0.9197567488647009,0.22854049368793328,0.5359107373458701,0.4087032457580507,-0.24572082360318692
-278138.1794395282,0.8019803278840698,0.16806571777471083,4.0,15.0,0.0,278145.5370170655,4.7429563821276135,1.8768628396347573,-0.9218382928727918,0.2209048088801945,0.5354475481904801,0.4091055057876299,-0.24726719456677196
-278136.85998585605,0.9754814981068335,0.16806571777471083,3.0,7.0,0.0,278139.1581002124,4.73571622284677,1.86553765942897,-0.9269327428171389,0.22837196753021366,0.5335552605858929,0.4115100377953674,-0.2523600983512895
-278138.7417283396,0.9905627626855639,0.16806571777471083,3.0,7.0,0.0,278139.60123471555,4.727815448612033,1.8689459604849614,-0.9208835100389112,0.2255755803847323,0.5334712598097489,0.4157052199778773,-0.2522834268329196
-278139.7075036108,0.822506423468737,0.16806571777471083,4.0,31.0,0.0,278144.1851158987,4.731100055896614,1.8532793114314412,-0.9166334245029414,0.2268083024316661,0.5322277010558703,0.4125210482658087,-0.25400575566902683
-278136.7878072332,1.0,0.16806571777471083,3.0,15.0,0.0,278141.68718000985,4.731016401481305,1.8522155637378093,-0.9111947216661953,0.22226645364094727,0.5339712135977814,0.41030726975454124,-0.2467720649753774
-278136.6497792463,0.8754881412528298,0.16806571777471083,3.0,7.0,0.0,278141.19472756726,4.732952778404719,1.8516370928354764,-0.9074925495741109,0.22771594414093616,0.5363796115379447,0.4108819287615501,-0.24729228846583517
