"mu0","mu2","mu1","mu3","sigma0","sigma1","sigma2"
4.21287093488695,0.526115332099467,1.45942352436273,0.39333000769243,0.466977296031732,0.349566430320115,-0.229260067681388
5.79199798579593,0.664301907144917,1.45433542507232,0.362366251048012,0.468674547214428,0.34552349637785,-0.227378175323192
6.39287459813006,1.15261319858501,1.46870645350273,0.333741369119837,0.469584758913927,0.352122626337338,-0.228745020822285
5.87074171099636,0.658463032114842,1.46650300031131,0.341443613152993,0.469781392815603,0.353231100231175,-0.22734125147257
5.02841944438058,-0.055985922621548,1.45395664796265,0.316138355095373,0.466983604937938,0.346396867622385,-0.221608695265372
5.31465974849582,0.621170326748018,1.45602747213137,0.330895597406797,0.467651837822763,0.351407322995438,-0.229874477992813
5.51045123744977,0.0730409967482743,1.45637130841826,0.321955596915132,0.469992475722024,0.345291719134999,-0.225501494740168
4.86274823594801,-0.209197968674041,1.45818708083923,0.342800669612978,0.467754356561593,0.35203951048558,-0.230282761809355
5.32122552304047,0.301010292091248,1.46568313816088,0.360985514007119,0.470050963149525,0.353235877212746,-0.23012317707307
5.30149338938894,0.179349403950508,1.47498491186575,0.339889361215296,0.468805937514674,0.350776378487556,-0.230281028335297
5.37732642404839,0.894661544616868,1.46198550451029,0.314703131526067,0.470781358876367,0.351122062197641,-0.227336838126783
5.47598456838867,0.347965173123812,1.46720927670981,0.339703414901605,0.469448007236534,0.349099169094891,-0.230980899102569
6.39160931366999,0.266200381778505,1.46515581172522,0.337140297755394,0.466155791663586,0.347376745015635,-0.229606203583237
3.99792098565285,0.872424585185505,1.46263299065572,0.333219467668476,0.464463830254094,0.350854689168567,-0.229361402448317
4.8590471738593,0.533024469603305,1.47528247808284,0.335022796574764,0.474144959683294,0.347700788968104,-0.228389870998764
4.24791525152095,1.49256440572238,1.47413859336764,0.369428455062204,0.47071545611074,0.354270043602075,-0.232712078652685
5.03512614478062,0.541431355077917,1.46760086387088,0.342417822444012,0.468410181001608,0.350078156918125,-0.229117725606349
5.42344516935175,-0.0419178998241611,1.46954757854097,0.341885853402767,0.472977026282888,0.349224526789989,-0.229477888202558
5.2106629881631,0.571186958603519,1.47126483536221,0.303566579464046,0.466089796145228,0.351375886591468,-0.231868322967112
6.00824823013779,0.823340536244869,1.46208492048934,0.320785627398391,0.468490043630778,0.352105184043383,-0.227997287543435
3.64074594311763,0.472032187603901,1.46529557519421,0.352561561832473,0.465812995147373,0.353689374270103,-0.231607812872309
4.89383775523786,-0.515027621103624,1.47484522641959,0.363529216491982,0.468395056623555,0.354011662272546,-0.230820773004353
4.16193044121109,1.03066294894794,1.4737708244425,0.322410387390633,0.468528946664505,0.353073586777736,-0.230669410698956
5.1378210563082,0.377450289063876,1.47637270168566,0.295772742893359,0.467276373245216,0.348497383431223,-0.224965585982629
5.05388376372563,0.169152009784203,1.47347974142567,0.299973398077036,0.471763519608843,0.347961052649765,-0.224992864723108
5.7503506927312,0.988613478157482,1.47056023687206,0.279915834321838,0.466808119632874,0.347795758076511,-0.228351451894761
5.92981529941257,0.400348898239064,1.4835338406129,0.289481939843423,0.47209010397329,0.35395234137524,-0.233741045366945
5.11977395527835,0.420987364413124,1.46684757306319,0.303361738480777,0.467498086191897,0.349954062882042,-0.231407756485843
5.58386817746285,0.675777689241152,1.47708551049397,0.322257879860544,0.471508121148146,0.352471316609026,-0.230860491026761
5.08759566436013,-0.0655200825742422,1.47152087593661,0.300452967965286,0.470307195525218,0.351208772068489,-0.230877777480673
5.40492272208617,-0.31851451574488,1.48483034730311,0.305316836153057,0.469859840737879,0.354128314450494,-0.232597275453895
