lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,sigma.1,sigma.2,sigma.3
-2445.212183260207,0.9901683185812934,0.3176823750687583,3.0,15.0,0.0,2450.5596529636186,4.4636103066863235,1.3498683942903869,-0.21936699440352597,0.4710535523221641,0.2685231628979262,-0.14360108794786877
-2447.820206276586,0.9540661637350387,0.3176823750687583,3.0,15.0,0.0,2452.368727333234,4.557032507221324,1.497370731578317,-0.32817553556135004,0.4675450623241663,0.2536203144779434,-0.17307468141444465
-2443.0242703185027,0.9159692498795391,0.3176823750687583,2.0,7.0,0.0,2451.729349761127,4.496525280072632,1.3027075363682616,-0.1606427130786563,0.46708454771246843,0.3070826733643986,-0.1742815698643113
-2445.3417632011856,0.9522786035477615,0.3176823750687583,3.0,7.0,0.0,2446.4450494639996,4.568607410350221,1.1906993214565391,-0.03226029623359484,0.46779686751569544,0.2535854730664414,-0.22848805317954712
-2445.353710839565,0.9986404618337216,0.3176823750687583,3.0,7.0,0.0,2447.9855126306725,4.4621674463044245,1.2374116044856982,-0.08951419099783257,0.48868398571101035,0.3406459617183541,-0.201001483314812
-2443.264050599153,1.0,0.3176823750687583,3.0,7.0,0.0,2446.187421303501,4.554860789534076,1.2576897717766446,-0.09646079408820915,0.46486015374954404,0.27939182390691975,-0.23936460618434813
-2441.285164049332,0.9971780511781176,0.3176823750687583,3.0,15.0,0.0,2446.3178488007898,4.454174281042102,1.2526442015724049,-0.12691973818754185,0.4663679335707944,0.27531287747127986,-0.17032864328823186
-2442.289014358092,0.9534445943162508,0.3176823750687583,4.0,15.0,0.0,2443.966546122316,4.58118187798966,1.1889591284290897,-0.03465633263898385,0.46929193416459514,0.2960716538041997,-0.20522177239775033
-2441.2422241924123,0.9659063882581516,0.3176823750687583,3.0,15.0,0.0,2446.8130062017385,4.481037967438138,1.3220926896692415,-0.1563475309698568,0.4470801342028975,0.27382836661137205,-0.17319016797797002
-2441.9133529341807,0.9631524107661557,0.3176823750687583,4.0,15.0,0.0,2444.558067179892,4.4083781599949825,1.122677071327862,0.02183434870988573,0.4231192831546898,0.27525587238996135,-0.21986443206721326
-2442.0478557602573,0.860418740348774,0.3176823750687583,3.0,15.0,0.0,2450.3092570521726,4.444580103730968,1.2081944614881268,-0.09204178565973932,0.43662312224870825,0.27626979049538253,-0.15202859790798373
