lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,sigma.1,sigma.2,sigma.3
-2317.1500519553824,0.7797457368457059,0.28128783524825407,3.0,15.0,0.0,2321.341296310218,5.789545254580928,1.3488866206748256,-0.06178403758108472,0.34108097667357745,0.3862561458477944,-0.3085076009614938
-2315.3877474497613,0.9820125565166979,0.28128783524825407,4.0,23.0,0.0,2318.841864467635,5.697901908244258,1.360972545211522,-0.013118605090159031,0.3096244818417814,0.34883510667191175,-0.23960607964921585
-2316.301061139033,0.9995717323272806,0.28128783524825407,4.0,31.0,0.0,2318.3100576908596,5.832557792032286,1.5940272664196615,-0.26007759390661755,0.34215880889086847,0.4182647779664783,-0.3090801644980875
-2318.733464853527,0.9349991990163318,0.28128783524825407,4.0,15.0,0.0,2320.969081307675,5.79293327579082,1.6559980540800918,-0.34186976096197497,0.34103943490770655,0.4653695434381936,-0.3657396471633731
-2316.705631977451,0.884863058231052,0.28128783524825407,4.0,15.0,0.0,2322.3623164553583,5.752118109976322,1.5256841379829889,-0.13265334994551972,0.3178742356890941,0.3979096369951211,-0.25244789602452405
-2318.580341824847,0.7128301817465363,0.28128783524825407,3.0,11.0,0.0,2325.671190865768,5.780300100683507,1.451845158300229,-0.11671812039016742,0.32068033442281235,0.37747356839512625,-0.21200954339229555
-2318.4309651032063,0.9211400096711381,0.28128783524825407,3.0,15.0,0.0,2321.904839789538,5.812341289075176,1.4319884558978135,-0.046924348416912315,0.329421342368171,0.33515777706698346,-0.270572703449815
-2315.699948459432,1.0,0.28128783524825407,2.0,3.0,0.0,2318.4977146338147,5.812867729359135,1.419513868795649,-0.07642352952217299,0.32936960871594273,0.348190395719023,-0.26754100250667745
-2318.0102073764574,0.6037638389829764,0.28128783524825407,3.0,15.0,0.0,2322.581735559492,5.828204356033735,1.4586550912536476,-0.039042191348226916,0.3571466674161222,0.3497614393769795,-0.22175805190300613
-2315.9145016904085,0.9967843002259037,0.28128783524825407,4.0,15.0,0.0,2318.759800215229,5.8221065227697135,1.4695967128160048,-0.09837079158440512,0.3513996761775091,0.3493440768447938,-0.23848567827953548
-2316.7366224686343,0.9422767824248859,0.28128783524825407,4.0,15.0,0.0,2319.2016811145822,5.727183675883069,1.511032703557656,-0.16070758915644462,0.28078796045686016,0.3811181508440159,-0.2864640343819212
-2315.2889472991847,0.9772540873025093,0.28128783524825407,4.0,15.0,0.0,2319.0320652775185,5.710207086557568,1.412498120251007,-0.08119713439763869,0.333786433195025,0.34868302029242576,-0.25717349321047767
-2315.4204654190744,0.952364066926633,0.28128783524825407,4.0,15.0,0.0,2316.8318651337936,5.767829853947049,1.465017120371392,-0.1128270647818662,0.29871346389307385,0.33430737990340414,-0.2379956396410352
-2317.275216553481,0.6879459667452005,0.28128783524825407,2.0,3.0,0.0,2319.7484490550137,5.770896835118923,1.4361242500759483,-0.16760188916620775,0.2985326169171029,0.33055641025851595,-0.2245508378259855
-2318.8263520733703,0.9971237436898464,0.28128783524825407,4.0,15.0,0.0,2320.1531772212975,5.746937473454039,1.5200344779253803,-0.23730244079269278,0.35518152261614094,0.44405313757196874,-0.3165076650641861
-2315.7622916199575,0.9997611850958836,0.28128783524825407,4.0,15.0,0.0,2321.7339192443733,5.814280158964872,1.4850012514628952,-0.19142459565790876,0.3495239967435662,0.36915134697641616,-0.2670138049159645
-2317.83634685152,0.9975897989299729,0.28128783524825407,4.0,15.0,0.0,2318.967311815118,5.854113701498078,1.4214564346685483,-0.08908645687618458,0.35435793881710304,0.3370398758651629,-0.21893727893643802
-2319.608858188194,0.874807813274502,0.28128783524825407,2.0,3.0,0.0,2320.6891235591706,5.8573904928725815,1.419340652589968,-0.009154404135512753,0.36638156523128845,0.3294327042740558,-0.22277261761985784
-2318.479706351157,0.9414243905864568,0.28128783524825407,4.0,15.0,0.0,2322.3604096448908,5.769766268816805,1.322070448255897,-0.08011433712049684,0.36526416622768043,0.33576105502038645,-0.239052701736896
-2316.6350453601904,0.9574216530430795,0.28128783524825407,4.0,15.0,0.0,2320.6089876332653,5.816337358407373,1.4092327477962867,-0.008008400677342358,0.3358747159515686,0.36991701743729827,-0.2499293887208935
-2315.619087096626,0.9699872141702962,0.28128783524825407,3.0,7.0,0.0,2317.9320025259444,5.79659719579323,1.3585130878339475,-0.07069984990614814,0.3303515928350753,0.36547357284084997,-0.2659929817561334
-2315.1407657558293,0.9935893023809653,0.28128783524825407,4.0,15.0,0.0,2317.0426746455146,5.753521928124333,1.4172170356194878,-0.07197155759628324,0.3429591938785069,0.3312169182512233,-0.2417261015218522
-2315.9324641925555,0.9966971996211308,0.28128783524825407,4.0,15.0,0.0,2317.0551669718143,5.7030240631408935,1.3528493010116782,0.004449458677011029,0.29554544421407325,0.3453320378209305,-0.23250474844671995
-2316.7086940772806,0.8611041738740128,0.28128783524825407,4.0,31.0,0.0,2318.656414861222,5.697244285833635,1.3821823495817174,-0.10119658598045463,0.29593184662179733,0.34678485581956336,-0.22655704165140209
-2317.702259146798,0.9543181758872435,0.28128783524825407,4.0,15.0,0.0,2319.4312849922917,5.680263470924322,1.3144711128660966,0.05886091826215144,0.3065505234244501,0.32640497904231813,-0.23711762906792985
-2315.8441344143657,0.9800538388996378,0.28128783524825407,3.0,15.0,0.0,2319.4516428283277,5.741084325808017,1.3128615706061295,-0.03904007280291358,0.30303709116219835,0.3445649602762736,-0.24011957057047106
-2315.656094843783,0.9725543020337498,0.28128783524825407,4.0,15.0,0.0,2317.638933144896,5.7299863077109965,1.3443813900176675,-0.019094199240877817,0.2954313584609903,0.33697286331876863,-0.21735313770886455
-2315.469603231647,0.9284232654650956,0.28128783524825407,4.0,15.0,0.0,2318.7313147737555,5.726336923405504,1.4436680361861098,-0.06905574314063936,0.3275647859027521,0.33784778281071265,-0.23341851835225363
-2315.340838570133,0.8918393067068876,0.28128783524825407,4.0,23.0,0.0,2318.2894767542107,5.770857477661076,1.541755471895301,-0.18702092718305216,0.32063875966070016,0.37916721695108196,-0.2990311547871263
-2318.5111690838507,0.9840293466372376,0.28128783524825407,4.0,15.0,0.0,2320.752828749168,5.806275603248449,1.7154293267820024,-0.4183807782878491,0.3152361196007935,0.4122443968891291,-0.3334329272067478
-2320.12752170665,0.7606864105051777,0.28128783524825407,3.0,7.0,0.0,2325.531425059454,5.766832483220751,1.7247571112719107,-0.4057047585177611,0.3201933947505342,0.36947718512306704,-0.3117268153421914
-2315.014851258712,0.9833083420087056,0.28128783524825407,4.0,15.0,0.0,2323.394392678323,5.804209332594001,1.4891954340179236,-0.14802224421494084,0.32146434499797577,0.36743761226052385,-0.24592718874593908
-2314.7457847336727,0.9841677392518554,0.28128783524825407,4.0,31.0,0.0,2316.303481976451,5.791792626429072,1.4297447158045715,-0.08147769485958216,0.33227736755587767,0.344915758958307,-0.25530914240263475
-2320.295161236726,0.846012959548662,0.28128783524825407,3.0,15.0,0.0,2322.104222672749,5.7890857114334775,1.5065916387280223,-0.11714434715853334,0.311509212812501,0.35178460308747456,-0.1842891115741532
-2316.7181700111555,0.9936348349671354,0.28128783524825407,4.0,23.0,0.0,2322.1232102661356,5.753381446501505,1.3120812827461152,-0.03471669109610153,0.3407092868440681,0.299790361425969,-0.22725401929423708
-2317.1895613913844,0.8522680924758718,0.28128783524825407,4.0,23.0,0.0,2321.6333303339793,5.794004281455472,1.5151296536151475,-0.261813934783064,0.31085200912465283,0.39683786226915513,-0.3166030841867237
-2316.026525861058,0.8425676287739524,0.28128783524825407,5.0,31.0,0.0,2321.472242269778,5.740070147379786,1.3985354163520394,-0.07754331597491455,0.3545584602810138,0.37790992077854996,-0.25438369198388944
-2322.9051544640424,0.9684024050773895,0.28128783524825407,4.0,15.0,0.0,2324.9349203624774,5.836558615837992,1.8449528548025378,-0.487424716038078,0.2986777583458176,0.4624854438852969,-0.36304061228358697
-2319.0398034922605,0.9996268638593315,0.28128783524825407,4.0,15.0,0.0,2323.982728484461,5.787716252543544,1.7214854123203358,-0.363512841355138,0.35567414323616686,0.4399010628257828,-0.3297428628962072
-2320.7568292133956,0.928874152067814,0.28128783524825407,3.0,7.0,0.0,2323.081885513751,5.765714423476409,1.65630881003212,-0.3929206545701439,0.359979903934332,0.43325924513601316,-0.35738042314310686
-2315.899126713819,0.9187471214129874,0.28128783524825407,4.0,15.0,0.0,2323.0913579717812,5.773011384512754,1.5413521326783908,-0.2350065303060097,0.3200267856587828,0.3958910245826144,-0.2659766601987402
-2316.4053867983007,0.9937639272448148,0.28128783524825407,3.0,15.0,0.0,2318.022553265274,5.738818799824378,1.3284784338057656,-0.07684349026400097,0.3077969395416136,0.36820823270030917,-0.2794205411635894
-2315.2236192376427,0.949024031153928,0.28128783524825407,3.0,7.0,0.0,2317.6176774871756,5.7073063234723875,1.3919274466901241,-0.050625363825390214,0.303798283981185,0.37592049548234896,-0.2644172182828347
-2316.7893434747275,0.9024617187863311,0.28128783524825407,4.0,31.0,0.0,2319.2924216497872,5.824444644363386,1.5415249268886464,-0.1688372945686464,0.3558399961394636,0.40776378182108775,-0.2773780977687332
-2316.044766913419,0.9766528922227853,0.28128783524825407,4.0,23.0,0.0,2320.393243325529,5.817110493233415,1.387343523405532,-0.056126170620749566,0.35267945839328596,0.33855707445756195,-0.24681886459219607
-2314.7889701205527,0.9330093944894825,0.28128783524825407,4.0,15.0,0.0,2317.4753410311123,5.7886351165640955,1.4647106148370477,-0.08785764419951105,0.3220138407008114,0.3707115675616063,-0.261529038385764
-2317.6807924323284,0.6785179574412064,0.28128783524825407,2.0,7.0,0.0,2320.4704936434287,5.757454659233248,1.5004984723192714,-0.062311047729395816,0.33501272239286567,0.36179303771550003,-0.25260342283563275
-2316.309484431943,0.9838267115745418,0.28128783524825407,4.0,15.0,0.0,2321.2370258503006,5.7448877483050635,1.3399757326568646,-0.04496940947023816,0.325602771339417,0.33936046534726705,-0.20564613400497128
-2318.495033842435,0.9939078093994717,0.28128783524825407,4.0,15.0,0.0,2320.3780808528586,5.737482846591523,1.465053332655657,-0.11968343381770284,0.28729837303163264,0.3052597595755592,-0.24077677325464583
-2317.1831683908417,1.0,0.28128783524825407,4.0,15.0,0.0,2320.500901573196,5.778014596351663,1.2716143644144244,0.02069087418407029,0.3566568701393979,0.3179673592390527,-0.22981913721603478
-2317.1753481497512,0.8761137942178744,0.28128783524825407,4.0,15.0,0.0,2320.255234693452,5.70909771835863,1.3656232166678117,-0.04865254250109125,0.2832840154277666,0.3382940691523446,-0.2104724929535455
-2317.471400822469,0.9388192454195239,0.28128783524825407,5.0,31.0,0.0,2319.0631968080556,5.8145425590073385,1.5512542100811089,-0.17461763713206452,0.3613829646464453,0.4197369888022205,-0.28658353587656266
-2319.407407261837,0.9151004853719293,0.28128783524825407,4.0,15.0,0.0,2321.596481061897,5.736224769799889,1.5896450498812698,-0.2728979147340459,0.2956420828189304,0.34934556798652033,-0.30106535531561857
-2316.664200100652,0.871537536271371,0.28128783524825407,5.0,31.0,0.0,2322.6794503223578,5.796134943038239,1.454590192765758,-0.089162623369061,0.34032102967724154,0.3978274469045211,-0.24846273640364758
-2315.4993004641433,0.960387252392905,0.28128783524825407,4.0,31.0,0.0,2319.448836591418,5.818957450201919,1.5415222118439185,-0.1737401072191715,0.3313269222346053,0.3609376727862674,-0.26960617114818963
-2316.532484867397,0.9404955708024121,0.28128783524825407,4.0,15.0,0.0,2318.6618134259215,5.775798508642878,1.4829849433088158,-0.13919383329459278,0.34996734239849325,0.41388912849088455,-0.2740214686095915
