lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,sigma.1,sigma.2,sigma.3
-2430.0383510498723,0.9577012334327236,0.43102123352483535,3.0,15.0,0.0,2432.1832914469564,5.141704884030875,1.4199055755762522,-0.1648215629211085,0.4126025338817722,0.32779882636674845,-0.22368060064684678
-2430.080633211576,0.8264432401215003,0.43102123352483535,2.0,3.0,0.0,2432.6320726337963,5.1546084131176055,1.3818033681485518,-0.13089177844305833,0.4064316133508025,0.3171183631241785,-0.21518957978967249
-2430.8751675235258,0.9754242405789996,0.43102123352483535,4.0,15.0,0.0,2432.142418177092,5.095077087414411,1.3108347639621578,0.03436904223150096,0.3819708679369325,0.3264768642398911,-0.2405293714523415
-2429.155693567417,1.0,0.43102123352483535,3.0,7.0,0.0,2431.3898233249856,5.127085848712682,1.3323527829283974,0.0028859889872164847,0.42406775474875014,0.3314595527565155,-0.17358770109575702
-2434.3842672892615,0.6523052906292728,0.43102123352483535,2.0,3.0,0.0,2435.761015574649,5.130289148720103,1.3130024779935725,-0.08676724270406416,0.40641881895345555,0.2901540361082612,-0.23794370491783712
-2433.355586694134,0.9073801590408043,0.43102123352483535,3.0,7.0,0.0,2437.8296824598583,5.109563840859302,1.237623825269,-0.07035848769506398,0.4400095724943921,0.31871085430022417,-0.2330526937691704
-2433.641945947876,0.6429210031596274,0.43102123352483535,3.0,11.0,0.0,2440.9219677761434,5.11494118635929,1.094371511769117,0.1385934759420105,0.42759645784627237,0.3063031673937042,-0.13935570699784075
-2430.166098141748,0.980451099364549,0.43102123352483535,4.0,15.0,0.0,2435.2192245629712,5.128740600295903,1.381662883747508,-0.10857445056588447,0.3935110243376621,0.3738787678961646,-0.26223219335349895
-2430.092910197592,0.9721871420709757,0.43102123352483535,3.0,7.0,0.0,2432.157725903297,5.125822088887268,1.403741818734226,-0.07834525781628168,0.43830446846340904,0.38139745590035945,-0.2596078628330333
-2429.984261140846,0.9632477642198166,0.43102123352483535,3.0,7.0,0.0,2431.3782622934964,5.18475850170398,1.407953065598266,-0.10875252221259682,0.39553908178519115,0.3538016493059102,-0.2229115148229018
-2429.9128331161737,1.0,0.43102123352483535,2.0,7.0,0.0,2431.464440133081,5.184645912728797,1.4405933323827282,-0.1290033030582082,0.39924996406848073,0.3634515879216921,-0.23588376694723834
-2430.8955604486027,0.7743858734995216,0.43102123352483535,4.0,15.0,0.0,2432.16313951571,5.062252223667046,1.2284386776798115,0.14868785430246007,0.40899696100315214,0.28425461912691363,-0.16728912379036537
-2429.270639909115,0.9542866365506629,0.43102123352483535,2.0,7.0,0.0,2432.9231759433055,5.052574779970153,1.2075709622686945,0.08631213612625428,0.42320780832688454,0.2936419846250574,-0.17944887565626366
-2430.3743365179366,0.9467133712926764,0.43102123352483535,3.0,7.0,0.0,2432.4285891052327,5.106737415057982,1.1727370439262965,0.11437072233690454,0.4462875201099493,0.3257313838925318,-0.19046383825691784
-2431.388377813364,0.8639365123364035,0.43102123352483535,3.0,15.0,0.0,2434.3626843693833,5.06894081963093,1.3942848244866652,-0.12177336384031709,0.41484545926483496,0.34605015749658635,-0.17412940338720861
-2429.737942288563,1.0,0.43102123352483535,3.0,15.0,0.0,2433.29665598596,5.080900725619916,1.3586219914947164,-0.06300885973292808,0.3923717029397932,0.2984926713062595,-0.1731437665322737
-2428.7293929677035,0.9884578425540228,0.43102123352483535,3.0,7.0,0.0,2430.826626836412,5.080784453158177,1.2280970261567976,0.04453011391118991,0.4115733385479966,0.3504950683865541,-0.22483292218102513
-2430.047024755152,0.8740549312517618,0.43102123352483535,3.0,15.0,0.0,2431.7280018839883,5.138737335477458,1.4257322642128878,-0.1808330352384752,0.4112904066886397,0.3411897986148423,-0.20353457153551957
-2428.7254863161293,0.9998818806652774,0.43102123352483535,3.0,15.0,0.0,2430.768892021272,5.157422805151348,1.31639864193066,0.02420732473696284,0.4301448395478155,0.34087714400631797,-0.22215240162388247
-2432.367602919316,0.8068431582760404,0.43102123352483535,3.0,7.0,0.0,2433.726598379452,5.155221924705147,1.3289685442200962,-0.09407238490026154,0.40002259961354664,0.28636847148536915,-0.1459050788422614
-2432.5541156899994,0.8540327082609932,0.43102123352483535,2.0,3.0,0.0,2435.2606038838217,5.172855850927375,1.3376506222681157,-0.042733556417481215,0.38972513950761967,0.27546215761392395,-0.15087942082194825
-2433.752088892072,0.41453245929677657,0.43102123352483535,3.0,7.0,0.0,2439.933505372341,5.121366821020707,1.3121462914889126,0.0620312316421341,0.470283215808132,0.29755652743895616,-0.2020744779376422
-2431.1347858102245,1.0,0.43102123352483535,3.0,7.0,0.0,2434.2755361718246,5.126550728497556,1.2723426292058735,0.10028710142873237,0.3747361519881348,0.3176698281838888,-0.18723564458957356
-2433.433861284216,0.9785192466495296,0.43102123352483535,3.0,7.0,0.0,2434.970907915206,5.127576480932595,1.4661715682713168,-0.08367346504241094,0.46040025701945864,0.3882326254845755,-0.23723078424374974
-2430.5412246157025,1.0,0.43102123352483535,3.0,15.0,0.0,2434.1856356845346,5.122192459390781,1.291473577773521,0.06550588742638018,0.3788622886213947,0.30578222136332633,-0.16675822001644788
-2431.839720637626,0.9297469716010331,0.43102123352483535,2.0,3.0,0.0,2432.7975550409205,5.112100405662746,1.2747545303971426,0.03981528006216904,0.36913324804713404,0.31537743380127004,-0.15432884917306564
-2431.98308464957,0.8702487619221267,0.43102123352483535,2.0,3.0,0.0,2434.7890714107016,5.088319912684932,1.2898616221783719,0.022181928771497085,0.3857495825927005,0.3166995279837316,-0.13796780629923813
-2432.5320477416526,0.9148834314118833,0.43102123352483535,3.0,15.0,0.0,2436.127466155488,5.027249872756587,1.1302848330571422,0.07322551084601416,0.3938351893137201,0.3028965105099984,-0.2251090120568795
-2430.671842561805,0.8983163056812656,0.43102123352483535,2.0,3.0,0.0,2433.4988523575084,5.030688494582158,1.1829496714941445,0.13576713620022005,0.39074466568427135,0.30954077324602924,-0.217166658048818
-2430.1090770164474,0.8458671469146692,0.43102123352483535,3.0,7.0,0.0,2433.284741511385,5.033259764191189,1.250667254347563,0.07296711343428482,0.40950141920269295,0.3334515731370958,-0.18314067226528563
-2429.694590780796,1.0,0.43102123352483535,3.0,7.0,0.0,2431.521543550603,5.025666073136442,1.2075677401719473,0.09115693105751699,0.3981406386210729,0.3293150867383885,-0.19041257649869647
-2431.0191441546854,0.8500884564032011,0.43102123352483535,3.0,7.0,0.0,2432.635654161197,5.015112086452859,1.1905520762556567,0.025955205865239084,0.3869573277632869,0.33163337282929256,-0.19376820386626037
-2430.471059965213,0.9962310014604379,0.43102123352483535,3.0,7.0,0.0,2432.997145039965,5.1610141320393765,1.1996132149456358,0.12409757359526855,0.43142766644704084,0.32592492375552246,-0.2218501501835388
-2428.804590870383,0.9796598693116335,0.43102123352483535,3.0,15.0,0.0,2432.110248145897,5.0907602538173204,1.363614383101896,-0.07485606914434353,0.42720157016449856,0.34570702543712023,-0.20848198199499218
-2429.5548773039022,0.9581552875462819,0.43102123352483535,4.0,15.0,0.0,2430.496300164097,5.109039612798745,1.2719578216262288,-0.023563585770548408,0.4373053688829588,0.30220139938446455,-0.20159710336289965
-2429.910498590299,0.9374949494714357,0.43102123352483535,3.0,7.0,0.0,2433.108824583861,5.108977988449518,1.26455901872019,0.07235948252320747,0.38374682108811004,0.35038727621200555,-0.2352761130386153
-2434.67264705961,0.6659477402763881,0.43102123352483535,2.0,3.0,0.0,2435.6693246444156,5.1155181880903635,1.1542532614139847,0.07135226775126337,0.38198829490471853,0.33331140867996867,-0.2592561075238908
-2430.247298543568,0.8836223144090255,0.43102123352483535,2.0,3.0,0.0,2436.857043175334,5.130620113201144,1.2272407718497744,0.07761048181802994,0.38061451669332586,0.32630612273069803,-0.2172547241347968
-2430.3609858721593,0.9854700693169763,0.43102123352483535,2.0,7.0,0.0,2432.213596611573,5.060070512543925,1.1744995672189964,0.12180520023895208,0.4418762932767752,0.31929896698122295,-0.19437467244736484
-2432.3437000529125,0.8720582831204514,0.43102123352483535,2.0,3.0,0.0,2433.1129732617537,5.053680548348775,1.1327550423126864,0.1286711740040495,0.44828173093041046,0.33519916475113165,-0.18957505976741848
-2431.646510428687,0.9995804670960261,0.43102123352483535,3.0,7.0,0.0,2434.0063368315987,5.087134701229252,1.2897707154517652,0.014246837971541304,0.3671889243267605,0.2807016213502066,-0.18056591143760412
-2430.487208501267,0.8930666417579813,0.43102123352483535,3.0,7.0,0.0,2433.30568230193,5.093165095435722,1.2999022050838884,0.04690321979315536,0.4465433546864871,0.34994702090522795,-0.23669549449685717
-2431.0702227039583,0.8539267405710987,0.43102123352483535,3.0,11.0,0.0,2433.9669690814558,5.107452830946268,1.3429955710446082,-0.0007290663415055465,0.45567959949159914,0.32146129934543094,-0.21990757268807243
-2430.2498344321466,0.9623423621089078,0.43102123352483535,2.0,7.0,0.0,2434.1989647050723,5.120819619691868,1.359084713981906,-0.13753625071969347,0.4207007765310896,0.3101054715760801,-0.19748963779850584
-2430.5812437633886,0.994128019758161,0.43102123352483535,3.0,7.0,0.0,2432.273257699562,5.200614668851095,1.391165075439967,-0.06906813545949131,0.433207598098015,0.3284704757071643,-0.1746982826649734
-2430.3212894007224,0.9310167298210258,0.43102123352483535,3.0,15.0,0.0,2436.131426002396,5.174605589036851,1.3040341520880656,-0.027133267233650595,0.44803898349846266,0.316301421164846,-0.17743773469313825
-2429.618390601775,0.8613459179092366,0.43102123352483535,3.0,7.0,0.0,2433.805710968041,5.147026239998448,1.3195730836472659,0.021742620701170483,0.3887226606151798,0.304727067601194,-0.18895669307136706
-2428.7178719140425,0.9973627453616316,0.43102123352483535,3.0,7.0,0.0,2430.0643083671093,5.141172020015609,1.2899977408415149,-0.007824334173058866,0.4034955183108643,0.30108844715728217,-0.1943736532419545
-2429.168788679597,0.9546457573057654,0.43102123352483535,3.0,15.0,0.0,2430.0578297401944,5.080622325559951,1.2156333755809314,0.07247353576742536,0.41950329916126355,0.3328222573336817,-0.18103270228435908
-2429.0332274351035,0.9934570581179465,0.43102123352483535,4.0,31.0,0.0,2430.1280741294,5.1555888247213595,1.3717246848853684,-0.03411241294275618,0.3987750198304245,0.3352305401419662,-0.18903400056303601
-2429.9437864976303,0.7786655657778231,0.43102123352483535,4.0,15.0,0.0,2431.7619196596206,5.038744366010908,1.1638449451003763,0.0986007468478986,0.4198138120809909,0.3196349732981681,-0.21762757159296017
-2429.908520169804,0.9758578266725614,0.43102123352483535,3.0,7.0,0.0,2431.146437661449,5.100525707757626,1.2162857423731617,0.12425174978779112,0.392163041437915,0.34854363887948603,-0.21340329188995355
-2429.0333852208832,0.9161408885642537,0.43102123352483535,3.0,15.0,0.0,2432.7934031321943,5.142408782473721,1.4498179911811808,-0.09595163218145455,0.4052138960537543,0.34058097449511543,-0.21680594235338224
-2429.3038265844593,0.9279793929308782,0.43102123352483535,4.0,15.0,0.0,2430.4946738038734,5.131247654102238,1.354706138093971,-0.0835180756159324,0.4059272771189382,0.3615107023275223,-0.20601319567429932
-2430.6735653903947,0.9710128802699566,0.43102123352483535,3.0,11.0,0.0,2432.3941053034296,5.190719632814906,1.2657988850681634,0.02654105186210115,0.4423066958673933,0.29670835597454914,-0.19709709810973683
-2429.778665252464,0.9892713187657305,0.43102123352483535,3.0,15.0,0.0,2431.7691886068806,5.148554446323295,1.2543300877155334,0.09519161880513116,0.41353905216712317,0.31940958485989956,-0.16825497444148618
-2429.2679965328966,0.8547168979908569,0.43102123352483535,3.0,15.0,0.0,2433.625364423622,5.05625355947005,1.3112010977884598,-0.023629380279911065,0.4233763744442839,0.3524369492551111,-0.22235293249063007
-2428.8737076229027,0.9683500091861781,0.43102123352483535,3.0,7.0,0.0,2430.311608464067,5.125998995472445,1.3029977245588547,-0.028921954934801125,0.4065136526000393,0.36041301431478545,-0.24370201167153457
-2428.2423377959885,0.9796843409173555,0.43102123352483535,4.0,15.0,0.0,2429.577920067359,5.126695231529962,1.3749914294088423,-0.024655728480869388,0.40563887136507276,0.3460258082392906,-0.21492388527272885
-2429.104576028121,0.986742549727605,0.43102123352483535,3.0,7.0,0.0,2429.715261358729,5.086577199239178,1.4119778298495502,-0.10476163905082522,0.4028922615058982,0.33829638937120776,-0.22525274297418513
-2430.5107875093245,0.9348886581054123,0.43102123352483535,4.0,15.0,0.0,2432.5290815945036,5.150130238082815,1.2083581022162058,0.1110241228136309,0.4315303666684161,0.3041354541468256,-0.15319253877613748
-2428.713999182403,0.9858661007562287,0.43102123352483535,3.0,15.0,0.0,2432.9968565643667,5.133797091148648,1.4031925313118354,-0.12690403920001353,0.40736696267861816,0.34520025549760536,-0.22674180909731964
-2432.305685011965,0.8848288097949444,0.43102123352483535,3.0,7.0,0.0,2433.8544996258584,5.127331485853573,1.4887089372402802,-0.21585947684780546,0.40042117775752845,0.41238332850669385,-0.2699253898306983
