lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,sigma.1,sigma.2,sigma.3
-2440.125963199427,0.7691241125174483,0.2839120752662092,3.0,15.0,0.0,2447.4024008963324,5.143544095537699,1.5826996840489305,-0.25263670789211595,0.4382214343387349,0.4821557545363348,-0.3492550379269499
-2437.8297270400576,0.9980272912471878,0.2839120752662092,4.0,15.0,0.0,2442.2506986588046,5.164313255424146,1.4929377246961208,-0.19956635218221883,0.42263567050476675,0.35384778215369594,-0.2788714327095693
-2439.9628623901144,0.8596615542237301,0.2839120752662092,2.0,3.0,0.0,2440.6871235578237,5.1664745458136965,1.478889198876217,-0.19222875415001486,0.42178252353043383,0.3351390671270557,-0.2855216968946236
-2439.2368166806527,0.8692196461126082,0.2839120752662092,4.0,15.0,0.0,2443.7092926551218,5.137171288371239,1.5290398663826377,-0.18039959532156186,0.43891927860074814,0.34552548497980834,-0.20601792595125384
-2439.2890382479914,0.9344414407269622,0.2839120752662092,3.0,15.0,0.0,2441.2327241690086,5.14622189668666,1.5412423936585193,-0.19397761130634134,0.4291465621164312,0.33488095847151267,-0.2863701633529197
-2440.912036675718,0.9468016312887684,0.2839120752662092,3.0,15.0,0.0,2443.1293995478604,5.162146240348733,1.451251042475277,-0.10342934237141901,0.45295166110686585,0.3797706016714195,-0.22205550256095324
-2442.1000720297666,0.993938210503423,0.2839120752662092,4.0,15.0,0.0,2446.711928207678,4.995381430087361,1.352747426188882,-0.06993344675932801,0.46813811477915807,0.3970985270343874,-0.28352192509351104
-2438.8350424294763,0.9792450781629054,0.2839120752662092,4.0,15.0,0.0,2444.8345861345206,5.085889985464721,1.3633831758121173,-0.10634434042245997,0.46049467167372576,0.3279209635922989,-0.2467002528512681
-2440.290813834234,0.9984694467097809,0.2839120752662092,3.0,7.0,0.0,2441.478052970045,5.060517304553875,1.3451194073226453,-0.002104347394236414,0.47157942920553375,0.32527484578855054,-0.2338104911900439
-2443.592620231132,0.8248264041652867,0.2839120752662092,4.0,15.0,0.0,2445.7678108196797,5.076070191897476,1.2949939951872458,-0.08461537513549777,0.4762293093290421,0.32961319571353875,-0.2803855070374683
-2441.7065964208364,1.0,0.2839120752662092,3.0,7.0,0.0,2444.449792661907,5.075528682115037,1.3857460123965777,0.03326089706581405,0.455117290961548,0.35157244424099665,-0.2117738052529383
-2439.570439617833,0.9938112320479386,0.2839120752662092,4.0,15.0,0.0,2444.94639257872,5.079272499974223,1.307800620234273,-0.026169377441672206,0.4059001495988595,0.3353881774954328,-0.21529031337423093
-2437.5103416167144,0.9979795440311229,0.2839120752662092,4.0,15.0,0.0,2440.4145731003237,5.056815429276951,1.4434590731977106,-0.08317819618060046,0.443818099011307,0.36388506799104187,-0.27529151388460743
-2437.76130311791,0.8689588102394988,0.2839120752662092,4.0,31.0,0.0,2440.7805830472125,5.162378751021702,1.4581693933548108,-0.19574388529048023,0.4384836243486311,0.3602565596279112,-0.2704642945427345
-2436.6874338998605,1.0,0.2839120752662092,3.0,15.0,0.0,2439.252776039126,5.063563527984374,1.4192210176140438,-0.09335502621866132,0.4218246780180428,0.36770561780020333,-0.2579294135858444
-2438.6765468296967,0.9277522071879083,0.2839120752662092,3.0,7.0,0.0,2439.25121712134,5.092373001990751,1.3045384055939742,-0.023487821721586193,0.41356364205524965,0.37781646938331,-0.29177561490165815
-2436.958914050053,0.9004623039740577,0.2839120752662092,4.0,15.0,0.0,2442.728906040935,5.080566406766671,1.5595093762993422,-0.1901535789284403,0.4340016998527502,0.40025727433430286,-0.2828605395497664
-2438.4609179123036,0.9699034556300551,0.2839120752662092,3.0,7.0,0.0,2438.7895370836154,5.070055483334053,1.5674319472858147,-0.32116232161688746,0.44342092742103967,0.3723360125808539,-0.2924986102114384
-2438.6871214579246,0.9802053936810817,0.2839120752662092,4.0,15.0,0.0,2440.767303423677,5.206943503282031,1.581918854598314,-0.19432175704123553,0.4454194134671761,0.41222941822599213,-0.3149718777891002
-2438.4025979583666,0.996804088703168,0.2839120752662092,4.0,15.0,0.0,2441.576920846215,5.184323728115181,1.7063013021497815,-0.34924285944985883,0.46126613759200213,0.37369472305272833,-0.2760960072488477
-2441.943910427398,0.8203925959197175,0.2839120752662092,3.0,7.0,0.0,2442.9132423941683,5.204103420932762,1.7789477135640028,-0.36061937616253703,0.46464420203650364,0.3520798102420433,-0.26209900401472985
-2438.953274772178,0.9764416105934589,0.2839120752662092,4.0,15.0,0.0,2444.746266025167,5.092734260994372,1.3430503164465066,0.03899054307512735,0.4261518134609818,0.37722122102197025,-0.2872558192661748
-2438.21769016789,0.8855362943776857,0.2839120752662092,4.0,23.0,0.0,2441.859621056178,5.084685452805587,1.6696177744149303,-0.30814958292360806,0.43918949249523925,0.36382782205167835,-0.2624236785850271
